"REF_DATE","GEO","DGUID","Type of sales","Type of beverage","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1990","Northwest Territories including Nunavut","","Total per capita sales","Beer","Litres","203","units ","0","v28463347","13.2.4","5.1","","","","1"
"1991","Canada","","Total sales","Total alcoholic beverages","Litres","203","thousands","3","v28463244","1.1.1","181709","","","","0"
"1991","Canada","","Total sales","Spirits","Litres","203","thousands","3","v28463245","1.1.2","51436","","","","0"
"1991","Canada","","Total sales","Wine","Litres","203","thousands","3","v28463246","1.1.3","26176","","","","0"
"1991","Canada","","Total sales","Beer","Litres","203","thousands","3","v28463247","1.1.4","104097","","","","0"
"1991","Canada","","Total per capita sales","Total alcoholic beverages","Litres","203","units ","0","v28463248","1.2.1","8.2","","","","1"
"1991","Canada","","Total per capita sales","Spirits","Litres","203","units ","0","v28463249","1.2.2","2.3","","","","1"
"1991","Canada","","Total per capita sales","Wine","Litres","203","units ","0","v28463250","1.2.3","1.2","","","","1"
"1991","Canada","","Total per capita sales","Beer","Litres","203","units ","0","v28463251","1.2.4","4.7","","","","1"
"1991","Newfoundland and Labrador","","Total sales","Total alcoholic beverages","Litres","203","thousands","3","v28463252","2.1.1","4050","","","","0"
"1991","Newfoundland and Labrador","","Total sales","Spirits","Litres","203","thousands","3","v28463253","2.1.2","1442","","","","0"
"1991","Newfoundland and Labrador","","Total sales","Wine","Litres","203","thousands","3","v28463254","2.1.3","163","","","","0"
"1991","Newfoundland and Labrador","","Total sales","Beer","Litres","203","thousands","3","v28463255","2.1.4","2445","","","","0"
"1991","Newfoundland and Labrador","","Total per capita sales","Total alcoholic beverages","Litres","203","units ","0","v28463256","2.2.1","9.0","","","","1"
"1991","Newfoundland and Labrador","","Total per capita sales","Spirits","Litres","203","units ","0","v28463257","2.2.2","3.2","","","","1"
"1991","Newfoundland and Labrador","","Total per capita sales","Wine","Litres","203","units ","0","v28463258","2.2.3","0.4","","","","1"
"1991","Newfoundland and Labrador","","Total per capita sales","Beer","Litres","203","units ","0","v28463259","2.2.4","5.4","","","","1"
"1991","Prince Edward Island","","Total sales","Total alcoholic beverages","Litres","203","thousands","3","v28463260","3.1.1","762","","","","0"
"1991","Prince Edward Island","","Total sales","Spirits","Litres","203","thousands","3","v28463261","3.1.2","287","","","","0"
"1991","Prince Edward Island","","Total sales","Wine","Litres","203","thousands","3","v28463262","3.1.3","59","","","","0"
"1991","Prince Edward Island","","Total sales","Beer","Litres","203","thousands","3","v28463263","3.1.4","416","","","","0"
"1991","Prince Edward Island","","Total per capita sales","Total alcoholic beverages","Litres","203","units ","0","v28463264","3.2.1","7.5","","","","1"
"1991","Prince Edward Island","","Total per capita sales","Spirits","Litres","203","units ","0","v28463265","3.2.2","2.8","","","","1"
"1991","Prince Edward Island","","Total per capita sales","Wine","Litres","203","units ","0","v28463266","3.2.3","0.6","","","","1"
"1991","Prince Edward Island","","Total per capita sales","Beer","Litres","203","units ","0","v28463267","3.2.4","4.1","","","","1"
"1991","Nova Scotia","","Total sales","Total alcoholic beverages","Litres","203","thousands","3","v28463268","4.1.1","5521","","","","0"
"1991","Nova Scotia","","Total sales","Spirits","Litres","203","thousands","3","v28463269","4.1.2","2049","","","","0"
"1991","Nova Scotia","","Total sales","Wine","Litres","203","thousands","3","v28463270","4.1.3","497","","","","0"
